"","timestamp","open","high","low","close","volume"
"1",1999-11-12,27.38,32,26.5,32,4063800
"2",1999-11-19,32.22,44.38,30.88,42.88,8903200
"3",1999-11-26,43.97,44,35.56,38.25,3275100
"4",1999-12-03,38.13,40.13,34.63,38.13,3103100
"5",1999-12-10,38.25,40.5,36.38,37.94,1833200
"6",1999-12-17,37.5,38.81,35.13,37.63,2204900
"7",1999-12-23,37.69,46.5,36.38,46.38,2754600
"8",1999-12-31,47.38,47.44,44.13,46.94,1626800
"9",2000-01-07,47.25,47.63,39.5,41.88,2044600
"10",2000-01-14,42,45.69,39.88,43.94,2600600
"11",2000-01-21,44.5,48.25,42.5,44.75,2396200
"12",2000-01-28,46.19,46.19,35.88,37.38,2873300
"13",2000-02-04,37.56,41.06,35,40.56,1367400
"14",2000-02-11,40.75,51.75,38,50,5560900
"15",2000-02-18,50.12,68.25,49.63,67.38,7535000
"16",2000-02-25,65.25,66.69,58.5,61.19,3285300
"17",2000-03-03,60.88,64.75,57.5,58.88,3483800
"18",2000-03-10,59.25,145,58,118,12848300
"19",2000-03-17,107,150,91.98,99.88,13097000
"20",2000-03-24,103.4,107.1,87,93.19,3486500
"21",2000-03-31,93,96,70.5,84.48,5367900
"22",2000-04-07,83.72,105,57,102.6,4596900
"23",2000-04-14,104.3,110.4,65.5,68.8,3961500
"24",2000-04-20,63,89.75,63,80.63,2508100
"25",2000-04-28,76,96,72.63,89.13,2437100
"26",2000-05-05,92.5,97.38,80,92.13,2280000
"27",2000-05-12,89.75,93,78.13,79.75,2228700
"28",2000-05-19,79.38,114.6,75.5,102.1,6188000
"29",2000-05-26,101,117.9,92.06,105.5,5808300
"30",2000-06-02,108.4,133,107.9,131.6,3717400
"31",2000-06-09,131.4,141,118,126.4,4433600
"32",2000-06-16,127,150,119,149.8,5061200
"33",2000-06-23,149.4,176,145.6,148.1,7289700
"34",2000-06-30,151,166.9,57.5,63.56,14967200
"35",2000-07-07,64,66,52.75,58.19,8171300
"36",2000-07-14,57.19,77.31,56.63,73.81,9306900
"37",2000-07-21,74.94,75,65.56,69.69,3640200
"38",2000-07-28,69.75,70.25,50,54,7669600
"39",2000-08-04,57,65,54,63.75,6794700
"40",2000-08-11,64.19,71,61.38,64.44,3331900
"41",2000-08-18,65.25,77.88,63,77,4802800
"42",2000-08-25,79.81,81.19,68.25,75,8174200
"43",2000-09-01,75.38,82.5,74.5,79.5,4624000
"44",2000-09-08,81.38,81.44,72.13,73.5,3911200
"45",2000-09-15,72.56,74.25,67.75,70.89,4628200
"46",2000-09-22,71.06,71.5,62.5,70.63,5942700
"47",2000-09-29,72.81,85.38,72.25,81.88,9119700
